years,text_general_code,lat,lon
1,Fraud,39.998314,-75.164244
1,Arson,40.000302,-75.118682
1,Thefts,39.921758,-75.187017
1,Thefts,39.927696,-75.229991
1,Thefts,39.952344,-75.146867
1,Thefts,39.962839,-75.16137
1,Robbery Firearm,39.917757,-75.179378
1,Thefts,39.990925,-75.101642
1,Thefts,39.989868,-75.103866
1,Thefts,39.997293,-75.089345
1,Theft from Vehicle,40.013052,-75.107835
1,Thefts,39.952073,-75.161485
1,Other Assaults,40.060669,-75.254208
1,Thefts,40.02849,-75.099584
1,All Other Offenses,40.022693,-75.215754
1,Thefts,39.916469,-75.169285
1,Thefts,39.948425,-75.166193
1,Thefts,39.936453,-75.148702
1,Thefts,40.055422,-75.158171
1,Other Assaults,40.017907,-75.051382
1,All Other Offenses,39.957895,-75.208081
1,Thefts,40.019479,-75.081259
1,Thefts,39.95372,-75.209221
1,Thefts,39.94871,-75.162251
1,Rape,40.066121,-74.988253
1,Thefts,39.935338,-75.150521
1,Thefts,39.968037,-75.176075
1,Fraud,39.938019,-75.191826
1,Thefts,39.955318,-75.200022
1,Thefts,39.939692,-75.222986
1,Thefts,39.952073,-75.161485
1,Fraud,39.965515,-75.210884
1,Fraud,39.931543,-75.175819
1,Fraud,39.994955,-75.110449
1,Thefts,40.003241,-75.165939
1,Thefts,40.078197,-75.175514
1,Robbery No Firearm,39.998622,-75.117107
1,All Other Offenses,40.045425,-75.164835
1,Fraud,40.092822,-75.044296
1,Theft from Vehicle,39.988525,-75.130781
1,Robbery No Firearm,39.955047,-75.238731
1,Thefts,40.059268,-75.141943
1,Other Assaults,39.994991,-75.12087
1,Thefts,39.998687,-75.117324
1,Fraud,39.995195,-75.179534
1,Fraud,40.029182,-75.068171
1,Other Assaults,39.991117,-75.124576
1,Fraud,40.000825,-75.118637
1,Fraud,40.029472,-75.218683
1,Fraud,40.022232,-75.057842
1,Fraud,39.984456,-75.133896
1,Thefts,40.001574,-75.145457
1,Thefts,39.952015,-75.160371
1,Thefts,40.039594,-75.032998
1,Fraud,40.027145,-75.141786
1,All Other Offenses,40.028681,-75.16562
1,Thefts,40.024643,-75.08686
1,Thefts,40.080703,-74.982917
1,Other Assaults,40.003947,-75.124197
1,Thefts,40.032544,-75.106373
1,Other Assaults,40.023889,-75.11598
1,Robbery Firearm,39.968285,-75.2181
1,Arson,40.011181,-75.09995
1,Other Assaults,39.926118,-75.234891
1,Fraud,39.999312,-75.153381
1,Other Assaults,39.946928,-75.163975
1,All Other Offenses,39.935004,-75.184213
1,All Other Offenses,39.966605,-75.220435
1,Arson,39.970543,-75.1502
1,Rape,39.995375,-75.116216
1,Rape,39.934481,-75.196905
1,Disorderly Conduct,39.956878,-75.149094
1,Other Assaults,39.998355,-75.112809
1,Fraud,39.966084,-75.133281
1,Thefts,39.876325,-75.252199
1,All Other Offenses,39.96153,-75.224573
1,Weapon Violations,39.992742,-75.12648
1,All Other Offenses,40.057174,-75.130816
1,Other Assaults,39.995583,-75.167531
1,All Other Offenses,39.883852,-75.230706
1,Thefts,39.960946,-75.23289
1,Robbery No Firearm,40.032094,-75.131514
1,All Other Offenses,39.96683,-75.241774
1,Fraud,39.963117,-75.142447
1,Fraud,39.946864,-75.144413
1,Fraud,39.946499,-75.16047
1,All Other Offenses,39.933598,-75.192856
1,Thefts,39.999836,-75.166592
1,Thefts,40.055435,-75.232442
1,Thefts,40.055047,-75.235867
1,All Other Offenses,39.965818,-75.233943
1,Rape,39.986069,-75.161285
1,Thefts,40.030698,-75.2277
1,Thefts,39.94968,-75.16193
1,Robbery Firearm,39.973779,-75.23023
1,Thefts,39.952945,-75.159664
1,All Other Offenses,39.960024,-75.224809
1,All Other Offenses,39.986633,-75.232079
1,All Other Offenses,39.997975,-75.121229
1,Thefts,39.992124,-75.099342
1,Motor Vehicle Theft,39.959301,-75.209349
1,Thefts,40.030737,-75.212078
1,Thefts,40.078222,-75.02419
1,Thefts,39.925108,-75.235094
1,Thefts,39.938405,-75.151004
1,Other Assaults,39.935305,-75.165143
1,Thefts,39.960091,-75.225167
1,Thefts,40.005893,-75.096742
1,Thefts,39.952622,-75.156544
1,Arson,39.998948,-75.103668
1,Motor Vehicle Theft,40.024714,-75.130675
1,Fraud,39.94119,-75.168898
1,All Other Offenses,39.925507,-75.178752
1,Fraud,39.936183,-75.190003
1,Thefts,39.918624,-75.185282
1,Weapon Violations,40.076362,-75.081902
1,Thefts,39.952073,-75.161485
1,Thefts,39.923533,-75.184954
1,Other Assaults,40.028249,-75.109995
1,Thefts,39.9513,-75.15455
1,Thefts,39.952073,-75.161485
1,Thefts,39.951299,-75.155218
1,Thefts,40.046868,-75.058382
1,Thefts,39.944767,-75.151262
1,Thefts,40.046868,-75.058382
1,Thefts,39.933434,-75.162178
1,Thefts,39.942563,-75.145559
1,Thefts,39.921109,-75.173726
1,Theft from Vehicle,39.940989,-75.175953
1,Rape,40.009954,-75.082612
1,Other Assaults,40.032054,-75.209588
1,Thefts,39.941603,-75.218151
1,Thefts,40.054384,-75.07421
1,All Other Offenses,39.955202,-75.183148
1,Thefts,40.076346,-75.067661
1,Fraud,39.949974,-75.168942
1,Rape,39.964175,-75.201794
1,Thefts,39.919224,-75.166424
1,Thefts,39.941129,-75.144865
1,Thefts,39.979392,-75.225363
1,Thefts,40.059765,-75.06092
1,Thefts,40.064568,-75.085117
1,Fraud,40.033125,-75.170688
1,Thefts,39.955787,-75.166229
1,Thefts,39.948448,-75.166244
1,Thefts,40.028345,-75.058202
1,Rape,39.932785,-75.191345
1,Thefts,40.046868,-75.058382
1,Thefts,40.051479,-75.008971
1,Thefts,39.962241,-75.19953
1,Thefts,39.948087,-75.21403
1,Thefts,40.085806,-75.035225
1,Thefts,40.06094,-75.192302
1,Fraud,40.015683,-75.089552
1,Other Assaults,40.078026,-74.984961
1,Thefts,39.964572,-75.204535
1,Thefts,40.092901,-75.064736
1,Other Assaults,40.018321,-75.081399
1,Other Assaults,40.001155,-75.117134
1,Other Assaults,40.011086,-75.164415
1,Thefts,40.123892,-74.994814
1,Fraud,40.037505,-75.17126
1,Other Assaults,40.05167,-75.174988
1,Fraud,40.002392,-75.204888
1,Burglary Residential,40.035495,-75.170439
1,Other Assaults,40.033174,-75.164837
1,Embezzlement,40.008482,-75.210828
1,Other Assaults,40.032254,-75.064419
1,Theft from Vehicle,39.962916,-75.141004
1,Arson,39.975037,-75.222712
1,Thefts,40.030204,-75.17614
1,Embezzlement,40.001164,-75.120434
1,Thefts,40.039839,-75.109053
1,Arson,39.937276,-75.176675
1,Fraud,40.023967,-75.121803
1,Fraud,39.993817,-75.122623
1,Fraud,40.006617,-75.13709
1,Fraud,40.025391,-75.145421
1,Fraud,40.091919,-75.026353
1,Disorderly Conduct,39.955911,-75.192229
1,Thefts,39.951576,-75.157484
1,Thefts,39.953222,-75.202835
1,Thefts,39.964846,-75.190217
1,Thefts,40.011704,-75.084899
1,Fraud,40.006747,-75.131542
1,Other Assaults,40.01501,-75.068195
1,All Other Offenses,39.954261,-75.23247
1,Thefts,39.991005,-75.101506
1,Arson,39.974771,-75.173714
1,All Other Offenses,39.992789,-75.122108
1,Thefts,39.962692,-75.24532
1,Thefts,39.950229,-75.171017
1,Other Assaults,40.00192,-75.126621
1,Fraud,40.017787,-75.154351
1,Arson,40.010977,-75.095886
1,Thefts,39.969429,-75.139304
1,Robbery No Firearm,39.928879,-75.156398
1,Thefts,40.032554,-75.045738
1,Thefts,40.004737,-75.152174
1,All Other Offenses,39.996239,-75.123603
1,Thefts,39.963201,-75.241828
1,Thefts,39.977737,-75.127788
1,Thefts,40.056017,-75.149455
1,Thefts,40.031389,-75.103187
1,Other Assaults,39.983731,-75.176783
1,Thefts,40.001566,-75.110231
1,Thefts,39.876671,-75.242175
1,Arson,39.984693,-75.127042
1,All Other Offenses,39.9608,-75.224767
1,Rape,40.004045,-75.126049
1,Theft from Vehicle,40.037375,-75.174821
1,Other Assaults,40.007845,-75.142877
1,Other Assaults,39.993884,-75.12011
1,Thefts,40.033377,-75.131226
1,Other Assaults,40.032506,-75.147794
1,Thefts,39.986423,-75.097423
1,Theft from Vehicle,39.94198,-75.17078
1,Thefts,40.023094,-75.076588
1,Fraud,39.9813,-75.121372
1,Weapon Violations,39.987581,-75.112653
1,Thefts,39.985705,-75.132061
1,Thefts,39.990506,-75.161825
1,Thefts,39.992261,-75.109575
1,Thefts,39.978263,-75.118842
1,Thefts,40.032029,-75.13153
